File,1560-A.csv,
Date/Time,26-03-18/13:55,

Center Wavelength,1553,nm
Span Wavelength,50,nm
Start Wavelength,1528,nm
Stop Wavelength,1578,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,1.0,nm
Actual Resolution,0.937,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1528,nm
Stop,1578,nm
1528.000000,1.2740E-006
1528.100000,-8.1960E-007
1528.200000,6.1420E-007
1528.300000,-9.2060E-007
1528.400000,2.9420E-006
1528.500000,8.2800E-007
1528.600000,1.2640E-007
1528.700000,3.1260E-007
1528.800000,-7.6190E-007
1528.900000,1.5430E-007
1529.000000,1.6050E-006
1529.100000,9.6330E-007
1529.200000,-8.2140E-007
1529.300000,9.9440E-007
1529.400000,1.0960E-006
1529.500000,6.7230E-007
1529.600000,1.1410E-006
1529.700000,-6.5460E-007
1529.800000,4.1610E-007
1529.900000,1.6960E-008
1530.000000,1.6370E-007
1530.100000,6.0140E-007
1530.200000,-9.6660E-007
1530.300000,1.3870E-006
1530.400000,2.1880E-007
1530.500000,1.4510E-006
1530.600000,9.1720E-007
1530.700000,6.5660E-007
1530.800000,5.0760E-007
1530.900000,-1.0710E-006
1531.000000,2.8040E-006
1531.100000,-2.2280E-007
1531.200000,-4.2750E-007
1531.300000,-6.0930E-007
1531.400000,1.4800E-006
1531.500000,1.0370E-006
1531.600000,1.2690E-006
1531.700000,1.6550E-006
1531.800000,9.7150E-007
1531.900000,6.4700E-007
1532.000000,1.4960E-006
1532.100000,-1.3690E-006
1532.200000,4.9910E-008
1532.300000,-4.0920E-007
1532.400000,4.7800E-007
1532.500000,2.2950E-008
1532.600000,2.1430E-006
1532.700000,1.5260E-007
1532.800000,-1.1260E-006
1532.900000,3.6900E-007
1533.000000,-9.0710E-008
1533.100000,2.0140E-007
1533.200000,1.7080E-006
1533.300000,1.2950E-006
1533.400000,1.9750E-006
1533.500000,-1.3150E-007
1533.600000,1.1620E-006
1533.700000,9.1350E-007
1533.800000,4.4730E-007
1533.900000,2.3260E-006
1534.000000,-1.5820E-006
1534.100000,-3.0270E-007
1534.200000,1.1930E-006
1534.300000,1.7520E-006
1534.400000,1.1620E-006
1534.500000,4.1790E-008
1534.600000,1.2750E-006
1534.700000,6.0950E-007
1534.800000,2.4820E-006
1534.900000,-4.5710E-008
1535.000000,1.3330E-006
1535.100000,-7.7740E-007
1535.200000,-1.2700E-007
1535.300000,3.8880E-007
1535.400000,9.5050E-007
1535.500000,1.4510E-006
1535.600000,7.5010E-007
1535.700000,-1.0270E-006
1535.800000,1.2860E-008
1535.900000,6.0080E-007
1536.000000,1.1120E-006
1536.100000,7.3390E-007
1536.200000,3.3210E-007
1536.300000,2.0740E-006
1536.400000,-9.1100E-007
1536.500000,2.7660E-008
1536.600000,5.2560E-007
1536.700000,1.3210E-006
1536.800000,6.0280E-008
1536.900000,-3.4390E-007
1537.000000,8.7960E-007
1537.100000,1.0310E-006
1537.200000,1.7090E-006
1537.300000,1.1300E-006
1537.400000,9.9940E-007
1537.500000,3.5790E-007
1537.600000,7.1690E-007
1537.700000,3.4900E-007
1537.800000,-1.2000E-006
1537.900000,9.6220E-007
1538.000000,5.9340E-008
1538.100000,-9.5330E-007
1538.200000,-4.7480E-008
1538.300000,2.3690E-006
1538.400000,3.1250E-007
1538.500000,-6.1340E-007
1538.600000,8.0820E-007
1538.700000,1.2670E-006
1538.800000,6.4790E-007
1538.900000,7.4090E-007
1539.000000,-5.9750E-007
1539.100000,4.1140E-007
1539.200000,1.4610E-006
1539.300000,5.0930E-007
1539.400000,4.6870E-007
1539.500000,-6.4280E-008
1539.600000,8.9940E-007
1539.700000,1.2570E-006
1539.800000,1.2980E-006
1539.900000,-1.0780E-006
1540.000000,1.2310E-006
1540.100000,6.8220E-007
1540.200000,9.2880E-007
1540.300000,-2.0070E-007
1540.400000,1.5310E-007
1540.500000,3.3500E-007
1540.600000,1.8740E-006
1540.700000,1.4700E-006
1540.800000,1.6890E-007
1540.900000,2.8010E-006
1541.000000,-8.0220E-007
1541.100000,1.5800E-008
1541.200000,1.6440E-006
1541.300000,1.0100E-006
1541.400000,2.7650E-007
1541.500000,3.6820E-007
1541.600000,4.9370E-009
1541.700000,1.9710E-006
1541.800000,-3.4050E-007
1541.900000,8.2910E-007
1542.000000,-1.3610E-007
1542.100000,-1.7880E-006
1542.200000,2.0020E-007
1542.300000,1.5170E-006
1542.400000,-1.6960E-007
1542.500000,4.7520E-007
1542.600000,6.0700E-007
1542.700000,1.1890E-006
1542.800000,1.0760E-006
1542.900000,7.5160E-007
1543.000000,1.5220E-006
1543.100000,-2.2600E-007
1543.200000,-5.2640E-007
1543.300000,1.1950E-006
1543.400000,-2.0990E-007
1543.500000,1.1790E-006
1543.600000,-8.6250E-008
1543.700000,4.8970E-007
1543.800000,1.3110E-006
1543.900000,7.3570E-007
1544.000000,7.3330E-007
1544.100000,-1.5220E-006
1544.200000,1.4740E-006
1544.300000,2.2040E-006
1544.400000,-1.4120E-006
1544.500000,1.2280E-006
1544.600000,4.2980E-008
1544.700000,2.6520E-006
1544.800000,5.9000E-007
1544.900000,4.6610E-007
1545.000000,1.4600E-006
1545.100000,2.5980E-007
1545.200000,1.8850E-006
1545.300000,5.9320E-007
1545.400000,1.4570E-006
1545.500000,1.2540E-006
1545.600000,-3.8980E-007
1545.700000,9.8250E-007
1545.800000,1.0350E-006
1545.900000,1.6110E-006
1546.000000,1.0120E-006
1546.100000,-7.0250E-007
1546.200000,2.6200E-007
1546.300000,1.6400E-006
1546.400000,4.6940E-007
1546.500000,-2.7380E-006
1546.600000,1.7370E-006
1546.700000,8.8230E-007
1546.800000,6.0320E-007
1546.900000,1.6060E-006
1547.000000,3.4310E-006
1547.100000,3.7910E-007
1547.200000,2.1530E-006
1547.300000,-8.8260E-007
1547.400000,6.8750E-008
1547.500000,1.4230E-006
1547.600000,1.2190E-006
1547.700000,4.1340E-007
1547.800000,7.4770E-007
1547.900000,1.0210E-006
1548.000000,7.9240E-007
1548.100000,7.3790E-007
1548.200000,-1.3350E-007
1548.300000,9.0840E-007
1548.400000,1.8090E-006
1548.500000,9.2800E-007
1548.600000,-2.7560E-007
1548.700000,-5.5520E-007
1548.800000,6.7220E-008
1548.900000,5.0080E-007
1549.000000,2.8260E-007
1549.100000,2.5350E-008
1549.200000,-1.4080E-006
1549.300000,1.6400E-006
1549.400000,-3.6280E-007
1549.500000,3.0850E-006
1549.600000,1.1410E-007
1549.700000,1.4330E-006
1549.800000,2.6860E-006
1549.900000,-1.5640E-006
1550.000000,1.0820E-006
1550.100000,8.6950E-008
1550.200000,8.7250E-007
1550.300000,1.2400E-007
1550.400000,1.4070E-007
1550.500000,1.0580E-006
1550.600000,9.2780E-007
1550.700000,-1.5120E-006
1550.800000,1.0610E-006
1550.900000,7.2380E-007
1551.000000,1.6450E-007
1551.100000,4.1850E-007
1551.200000,9.4350E-007
1551.300000,2.0110E-007
1551.400000,1.4880E-006
1551.500000,1.1160E-006
1551.600000,6.0700E-007
1551.700000,-1.2940E-006
1551.800000,8.6800E-007
1551.900000,2.4140E-006
1552.000000,7.9690E-007
1552.100000,1.2970E-006
1552.200000,-5.9070E-009
1552.300000,3.1520E-007
1552.400000,5.5570E-007
1552.500000,3.0520E-008
1552.600000,1.3410E-006
1552.700000,3.5290E-007
1552.800000,1.0800E-007
1552.900000,8.7380E-007
1553.000000,1.3650E-006
1553.100000,2.1690E-006
1553.200000,7.9640E-007
1553.300000,-1.7090E-006
1553.400000,2.2460E-006
1553.500000,-1.0870E-006
1553.600000,1.2450E-006
1553.700000,2.1480E-006
1553.800000,1.4050E-006
1553.900000,1.7610E-006
1554.000000,6.8160E-007
1554.100000,1.2120E-006
1554.200000,9.5210E-007
1554.300000,8.0930E-007
1554.400000,1.8870E-006
1554.500000,1.3770E-006
1554.600000,7.7140E-007
1554.700000,3.5570E-007
1554.800000,1.2530E-006
1554.900000,1.1470E-006
1555.000000,7.7100E-007
1555.100000,1.1900E-006
1555.200000,1.5890E-006
1555.300000,1.5460E-006
1555.400000,2.9650E-007
1555.500000,3.2300E-007
1555.600000,5.1550E-007
1555.700000,1.6530E-006
1555.800000,1.5480E-006
1555.900000,-6.7280E-007
1556.000000,2.0340E-007
1556.100000,4.9920E-008
1556.200000,1.3990E-006
1556.300000,3.0660E-007
1556.400000,1.3000E-006
1556.500000,7.9120E-007
1556.600000,-1.8330E-007
1556.700000,-7.4820E-007
1556.800000,3.9910E-007
1556.900000,2.8430E-007
1557.000000,-5.9920E-007
1557.100000,3.9230E-009
1557.200000,-9.0370E-007
1557.300000,5.8950E-007
1557.400000,-4.1100E-007
1557.500000,1.0670E-006
1557.600000,7.7410E-007
1557.700000,-9.6340E-007
1557.800000,1.3110E-006
1557.900000,1.2930E-006
1558.000000,-6.2510E-007
1558.100000,-4.4160E-007
1558.200000,9.7350E-007
1558.300000,-1.2870E-006
1558.400000,2.8850E-006
1558.500000,4.7290E-007
1558.600000,3.7460E-007
1558.700000,1.0030E-006
1558.800000,2.1950E-006
1558.900000,3.0770E-006
1559.000000,3.0810E-006
1559.100000,6.5790E-006
1559.200000,6.7860E-006
1559.300000,8.9330E-006
1559.400000,1.8970E-005
1559.500000,6.5400E-005
1559.600000,9.2020E-005
1559.700000,1.2720E-004
1559.800000,2.2480E-004
1559.900000,1.2500E-003
1560.000000,5.1470E-002
1560.100000,5.1050E-002
1560.200000,5.0930E-002
1560.300000,5.0690E-002
1560.400000,5.1700E-002
1560.500000,5.2280E-002
1560.600000,5.1710E-002
1560.700000,5.1320E-002
1560.800000,5.0510E-002
1560.900000,2.0850E-003
1561.000000,1.9530E-004
1561.100000,1.2410E-004
1561.200000,9.3650E-005
1561.300000,6.8290E-005
1561.400000,1.6290E-005
1561.500000,1.1700E-005
1561.600000,7.5730E-006
1561.700000,7.5880E-006
1561.800000,5.9300E-006
1561.900000,4.1480E-006
1562.000000,2.5960E-006
1562.100000,3.4820E-006
1562.200000,9.4700E-007
1562.300000,1.7250E-006
1562.400000,1.9160E-006
1562.500000,1.7080E-006
1562.600000,7.5030E-007
1562.700000,1.2350E-006
1562.800000,1.5900E-006
1562.900000,2.4440E-006
1563.000000,5.3230E-008
1563.100000,8.4610E-007
1563.200000,1.0390E-006
1563.300000,1.3910E-006
1563.400000,1.1500E-006
1563.500000,2.8480E-007
1563.600000,1.7010E-006
1563.700000,-1.3760E-007
1563.800000,1.5040E-006
1563.900000,1.8250E-006
1564.000000,-5.9180E-008
1564.100000,2.0470E-007
