File,1560-B.csv,
Date/Time,26-03-18/13:55,

Center Wavelength,1553,nm
Span Wavelength,50,nm
Start Wavelength,1528,nm
Stop Wavelength,1578,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,On,
Resolution,1.0,nm
Actual Resolution,0.937,nm
VBW,1000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,501,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,B
Start,1528,nm
Stop,1578,nm
1528.000000,4.0010E-005
1528.100000,3.8710E-005
1528.200000,4.1940E-005
1528.300000,4.4750E-005
1528.400000,4.8350E-005
1528.500000,4.7060E-005
1528.600000,4.6860E-005
1528.700000,5.2880E-005
1528.800000,5.3470E-005
1528.900000,5.8570E-005
1529.000000,5.9380E-005
1529.100000,6.3530E-005
1529.200000,6.4120E-005
1529.300000,6.7770E-005
1529.400000,7.3640E-005
1529.500000,7.4620E-005
1529.600000,7.6600E-005
1529.700000,7.8650E-005
1529.800000,8.1550E-005
1529.900000,7.9010E-005
1530.000000,8.6740E-005
1530.100000,8.6410E-005
1530.200000,9.0790E-005
1530.300000,9.1170E-005
1530.400000,9.4260E-005
1530.500000,9.5710E-005
1530.600000,9.7960E-005
1530.700000,9.7960E-005
1530.800000,9.8860E-005
1530.900000,9.8300E-005
1531.000000,9.9200E-005
1531.100000,1.0140E-004
1531.200000,1.0000E-004
1531.300000,1.0090E-004
1531.400000,9.9080E-005
1531.500000,9.6990E-005
1531.600000,9.9060E-005
1531.700000,9.6440E-005
1531.800000,9.6610E-005
1531.900000,9.4790E-005
1532.000000,9.2530E-005
1532.100000,9.1350E-005
1532.200000,9.0250E-005
1532.300000,8.8620E-005
1532.400000,8.6860E-005
1532.500000,8.2130E-005
1532.600000,8.2380E-005
1532.700000,7.7380E-005
1532.800000,7.5160E-005
1532.900000,7.3630E-005
1533.000000,6.9770E-005
1533.100000,7.2550E-005
1533.200000,6.8950E-005
1533.300000,6.3940E-005
1533.400000,6.2540E-005
1533.500000,6.1110E-005
1533.600000,5.6300E-005
1533.700000,5.2500E-005
1533.800000,5.1000E-005
1533.900000,4.8010E-005
1534.000000,4.3090E-005
1534.100000,4.3110E-005
1534.200000,4.0230E-005
1534.300000,3.7480E-005
1534.400000,3.5780E-005
1534.500000,3.1840E-005
1534.600000,3.0960E-005
1534.700000,2.8890E-005
1534.800000,2.6750E-005
1534.900000,2.2840E-005
1535.000000,2.4800E-005
1535.100000,2.0640E-005
1535.200000,1.8830E-005
1535.300000,2.1460E-005
1535.400000,1.6720E-005
1535.500000,1.3550E-005
1535.600000,1.4050E-005
1535.700000,1.5390E-005
1535.800000,1.5040E-005
1535.900000,1.1070E-005
1536.000000,1.2340E-005
1536.100000,9.0410E-006
1536.200000,9.6190E-006
1536.300000,9.3290E-006
1536.400000,8.2480E-006
1536.500000,8.7620E-006
1536.600000,6.6950E-006
1536.700000,7.6910E-006
1536.800000,6.9060E-006
1536.900000,7.4770E-006
1537.000000,7.3380E-006
1537.100000,6.0170E-006
1537.200000,6.1950E-006
1537.300000,4.2050E-006
1537.400000,3.7610E-006
1537.500000,2.3970E-006
1537.600000,3.6740E-006
1537.700000,5.1310E-006
1537.800000,3.7370E-006
1537.900000,4.9570E-006
1538.000000,4.6040E-006
1538.100000,5.7350E-006
1538.200000,3.6090E-006
1538.300000,2.9820E-006
1538.400000,4.0900E-006
1538.500000,4.0190E-006
1538.600000,2.9540E-006
1538.700000,2.9370E-006
1538.800000,3.2540E-006
1538.900000,4.4960E-006
1539.000000,2.6440E-006
1539.100000,1.9930E-006
1539.200000,3.1610E-006
1539.300000,3.3110E-006
1539.400000,3.2950E-006
1539.500000,2.7580E-006
1539.600000,3.3600E-006
1539.700000,3.1280E-006
1539.800000,2.7640E-006
1539.900000,2.4500E-006
1540.000000,2.5370E-006
1540.100000,4.3160E-006
1540.200000,2.8760E-006
1540.300000,4.4000E-006
1540.400000,9.6540E-007
1540.500000,3.2770E-006
1540.600000,3.9290E-006
1540.700000,2.9020E-006
1540.800000,2.3880E-006
1540.900000,4.5240E-006
1541.000000,2.3970E-006
1541.100000,2.9670E-006
1541.200000,2.4280E-006
1541.300000,3.2510E-006
1541.400000,2.7950E-006
1541.500000,3.6910E-006
1541.600000,2.9660E-006
1541.700000,3.3130E-006
1541.800000,1.5170E-006
1541.900000,3.8260E-006
1542.000000,4.6090E-006
1542.100000,1.8060E-006
1542.200000,3.2840E-006
1542.300000,4.4110E-006
1542.400000,1.3370E-006
1542.500000,4.9160E-006
1542.600000,2.2420E-006
1542.700000,3.6170E-006
1542.800000,3.4830E-006
1542.900000,1.9120E-006
1543.000000,3.4710E-006
1543.100000,3.5830E-006
1543.200000,1.6090E-006
1543.300000,1.4960E-006
1543.400000,3.6120E-006
1543.500000,3.5840E-006
1543.600000,1.8040E-006
1543.700000,9.5470E-007
1543.800000,3.1500E-006
1543.900000,2.3190E-006
1544.000000,3.2340E-006
1544.100000,2.6750E-006
1544.200000,1.9970E-006
1544.300000,3.5180E-006
1544.400000,2.9600E-006
1544.500000,1.4510E-006
1544.600000,3.2830E-006
1544.700000,3.9330E-006
1544.800000,3.4910E-006
1544.900000,4.5030E-006
1545.000000,2.2100E-006
1545.100000,3.8060E-006
1545.200000,3.0050E-006
1545.300000,3.1840E-006
1545.400000,3.2340E-006
1545.500000,3.4670E-006
1545.600000,2.4130E-006
1545.700000,4.5730E-006
1545.800000,2.1890E-006
1545.900000,2.3680E-006
1546.000000,3.0260E-006
1546.100000,2.5370E-006
1546.200000,2.6790E-006
1546.300000,2.5040E-006
1546.400000,1.5570E-006
1546.500000,1.1340E-006
1546.600000,3.8600E-006
1546.700000,3.5860E-006
1546.800000,3.5140E-006
1546.900000,2.3120E-006
1547.000000,2.2970E-006
1547.100000,2.3740E-006
1547.200000,3.1460E-006
1547.300000,3.6050E-006
1547.400000,2.2120E-006
1547.500000,1.8700E-006
1547.600000,2.3090E-006
1547.700000,1.9100E-006
1547.800000,3.1020E-006
1547.900000,2.9950E-006
1548.000000,4.6460E-006
1548.100000,1.6910E-006
1548.200000,3.1820E-006
1548.300000,2.7890E-006
1548.400000,2.3710E-006
1548.500000,1.6190E-006
1548.600000,2.6460E-006
1548.700000,2.6880E-006
1548.800000,2.9920E-006
1548.900000,2.1370E-006
1549.000000,2.3730E-006
1549.100000,3.0010E-006
1549.200000,2.3820E-006
1549.300000,4.7010E-007
1549.400000,2.5050E-006
1549.500000,2.4090E-006
1549.600000,2.0110E-006
1549.700000,3.1640E-006
1549.800000,1.5370E-006
1549.900000,1.3020E-006
1550.000000,2.0850E-006
1550.100000,3.4580E-007
1550.200000,2.7800E-006
1550.300000,2.6790E-006
1550.400000,1.4990E-006
1550.500000,2.5970E-006
1550.600000,2.7530E-006
1550.700000,2.6850E-006
1550.800000,2.2460E-006
1550.900000,2.2620E-006
1551.000000,4.6810E-006
1551.100000,7.0780E-007
1551.200000,1.7150E-006
1551.300000,7.7010E-007
1551.400000,7.8220E-007
1551.500000,2.5660E-006
1551.600000,8.2310E-007
1551.700000,-4.2930E-007
1551.800000,1.9270E-006
1551.900000,2.5140E-006
1552.000000,1.4010E-006
1552.100000,2.1000E-006
1552.200000,2.1730E-006
1552.300000,2.2090E-006
1552.400000,2.9300E-006
1552.500000,3.3780E-006
1552.600000,2.3130E-006
1552.700000,2.1170E-006
1552.800000,2.4770E-006
1552.900000,2.6410E-006
1553.000000,3.0170E-006
1553.100000,7.4610E-007
1553.200000,2.0780E-006
1553.300000,4.9340E-007
1553.400000,7.4540E-007
1553.500000,9.8360E-007
1553.600000,1.6730E-006
1553.700000,1.4410E-006
1553.800000,5.0510E-007
1553.900000,1.8820E-006
1554.000000,1.2120E-006
1554.100000,1.6040E-006
1554.200000,2.4230E-006
1554.300000,4.9540E-007
1554.400000,7.8640E-007
1554.500000,2.8370E-006
1554.600000,7.7050E-007
1554.700000,2.0470E-006
1554.800000,1.4120E-006
1554.900000,1.2100E-006
1555.000000,8.0800E-007
1555.100000,6.4290E-007
1555.200000,-1.2370E-007
1555.300000,1.8370E-006
1555.400000,1.9800E-006
1555.500000,1.3770E-006
1555.600000,9.7380E-007
1555.700000,1.6880E-006
1555.800000,2.3660E-006
1555.900000,1.5640E-007
1556.000000,2.4630E-006
1556.100000,-1.0120E-006
1556.200000,1.5190E-006
1556.300000,3.0560E-006
1556.400000,2.8120E-006
1556.500000,1.8560E-006
1556.600000,5.8240E-007
1556.700000,2.7750E-006
1556.800000,8.6890E-007
1556.900000,1.8900E-006
1557.000000,9.2320E-007
1557.100000,1.3670E-006
1557.200000,9.0640E-007
1557.300000,9.8270E-007
1557.400000,1.3460E-006
1557.500000,3.2380E-006
1557.600000,1.4070E-006
1557.700000,6.7310E-007
1557.800000,1.8070E-006
1557.900000,-9.2270E-007
1558.000000,2.1610E-006
1558.100000,1.3270E-006
1558.200000,-6.3790E-008
1558.300000,1.5910E-006
1558.400000,2.1740E-006
1558.500000,9.3680E-007
1558.600000,2.2270E-006
1558.700000,2.2160E-006
1558.800000,1.1490E-006
1558.900000,5.3850E-008
1559.000000,2.0880E-006
1559.100000,1.1710E-006
1559.200000,1.8220E-006
1559.300000,2.2810E-006
1559.400000,5.8830E-005
1559.500000,1.5740E-004
1559.600000,1.9710E-004
1559.700000,2.0330E-004
1559.800000,1.9960E-004
1559.900000,2.0060E-004
1560.000000,1.9330E-004
1560.100000,1.9960E-004
1560.200000,1.9660E-004
1560.300000,1.5910E-004
1560.400000,8.2960E-005
1560.500000,1.1360E-005
1560.600000,3.8090E-006
1560.700000,2.0110E-006
1560.800000,1.3000E-006
1560.900000,2.2910E-006
1561.000000,-1.2230E-006
1561.100000,1.6640E-006
1561.200000,1.1600E-006
1561.300000,2.0340E-006
1561.400000,2.3650E-006
1561.500000,1.4330E-006
1561.600000,5.2980E-007
1561.700000,2.6820E-007
1561.800000,2.7690E-007
1561.900000,1.4520E-006
1562.000000,1.3960E-006
1562.100000,1.3950E-006
1562.200000,-2.1660E-007
1562.300000,7.9570E-007
1562.400000,7.4520E-007
1562.500000,1.2320E-006
1562.600000,-1.2560E-008
1562.700000,7.0120E-007
1562.800000,3.7820E-007
1562.900000,-1.7210E-007
1563.000000,3.4350E-007
1563.100000,5.2470E-007
1563.200000,2.5160E-006
1563.300000,-5.7140E-008
1563.400000,-6.0260E-007
1563.500000,1.3770E-006
1563.600000,4.4680E-007
1563.700000,8.0180E-007
1563.800000,1.1600E-006
1563.900000,2.1550E-006
1564.000000,1.3520E-006
1564.100000,1.6020E-006
1564.200000,-1.1250E-007
1564.300000,6.7760E-007
1564.400000,1.3810E-006
1564.500000,6.5740E-007
