Beam (mm),Frequency (Hz),Experimental (pm/g),Simulated (pm/g),Error (%)
30,2.0,0.148,39.888901851487475,26851.96071046451
30,3.0,0.0538,39.8921472652074,74048.97261190966
30,4.0,0.0786,39.896691688909435,50659.14973143693
30,5.0,0.0755,39.90253596753234,52751.04101659913
40,2.0,0.1606,53.19010461179826,33019.61681930153
40,3.0,0.0814,53.200562427238125,65256.95629881833
40,4.0,0.0698,53.21520994562745,76139.55579602787
40,5.0,0.0543,53.23405375210979,97936.93140351711
50,2.0,0.0667,66.49798425733842,99597.12782209658
50,3.0,0.0876,66.52401143058634,75840.65231802095
50,4.0,0.0296,66.56048206409874,224766.49345979298
50,5.0,0.1315,66.60742883144495,50552.03713417867
60,2.0,0.0636,79.81656960455331,125397.75095055552
60,3.0,0.0649,79.87158178073756,122968.69303657561
60,4.0,0.0408,79.94872017012655,195852.74551501602
60,5.0,0.0244,80.0481066573778,327966.0108908926
70,2.0,0.0134,93.15099524746826,695056.6809512556
70,3.0,0.0836,93.2548785589914,111448.89779783659
70,4.0,0.0885,93.40068612332263,105437.49844443236
70,5.0,0.0548,93.58879155155,170682.46633494526
