File,,REFLECTIVITY.csv,,,,,,,,
Date/Time,,26-03-05/14:34,,,,,,,,
,,,,,,,,,,
Trace,,A,,,,,,,,
Center Wavelength,,1553,nm,,,,,,,
Span Wavelength,,35,nm,,,,,,,
Start Wavelength,,1535.5,nm,,,,,,,
Stop Wavelength,,1570.5,nm,,,,,,,
Value In Air/Vacuum,,Vacuum,,,,,,,,
Optical Attenuater,,On,,,,,,,,
Resolution,,1,nm,,,,,,,
Actual Resolution,,0.937,nm,,,,,,,
VBW,,1000,Hz,,,,,,,
Point Average,,Off,,,,,,,,
Sweep Average,,1,,,,,,,,
Smooth,,Off,,,,,,,,
Sampling Points,,501,pt,,,,,,,
Trace Type,,Fix,,,,,,,,
Trace Storage Mode,,Off,,,,,,,,
Trace Calculate Trace 1,,-,,,,,,,,
Trace Calculate Trace 2,,-,,,,,,,,
Dynamic Range,,Normal,,,,,,,,
Ext-Trigger,,Off,,,,,,,,
Interval Time,,Off,,,,,,,,
MM Mode,,Off,,,,,,,,
Start,,1535.5,nm,,,,,,,
Stop,,1570.5,nm,,,,,,,
Trace,,B,,,,,,,,
Center Wavelength,,1553,nm,,,,,,,
Span Wavelength,,35,nm,,,,,,,
Start Wavelength,,1535.5,nm,,,,,,,
Stop Wavelength,,1570.5,nm,,,,,,,
Value In Air/Vacuum,,Vacuum,,,,,,,,
Optical Attenuater,,On,,,,,,,,
Resolution,,1,nm,,,,,,,
Actual Resolution,,0.937,nm,,,,,,,
VBW,,1000,Hz,,,,,,,
Point Average,,Off,,,,,,,,
Sweep Average,,1,,,,,,,,
Smooth,,Off,,,,,,,,
Sampling Points,,501,pt,,,,,,,
Trace Type,,Write,,,,,,,,
Trace Storage Mode,,Off,,,,,,,,
Trace Calculate Trace 1,,-,,,,,,,,
Trace Calculate Trace 2,,-,,,,,,,,
Dynamic Range,,Normal,,,,,,,,
Ext-Trigger,,Off,,,,,,,,
Interval Time,,Off,,,,,,,,
MM Mode,,Off,,,,,,,,
Start,,1535.5,nm,,,,,,,
Stop,,1570.5,nm,,,,,,,
Trace,,C,,,,,,,,
Center Wavelength,,1553,nm,,,,,,,
Span Wavelength,,35,nm,,,,,,,
Start Wavelength,,1535.5,nm,,,,,,,
Stop Wavelength,,1570.5,nm,,,,,,,
Value In Air/Vacuum,,Vacuum,,,,,,,,
Optical Attenuater,,On,,,,,,,,
Resolution,,1,nm,,,,,,,
Actual Resolution,,0.937,nm,,,,,,,
VBW,,1000,Hz,,,,,,,
Point Average,,Off,,,,,,,,
Sweep Average,,1,,,,,,,,
Smooth,,Off,,,,,,,,
Sampling Points,,501,pt,,,,,,,
Trace Type,,Fix,,,,,,,,
Trace Storage Mode,,Off,,,,,,,,
Trace Calculate Trace 1,,-,,,,,,,,
Trace Calculate Trace 2,,-,,,,,,,,
Dynamic Range,,Normal,,,,,,,,
Ext-Trigger,,Off,,,,,,,,
Interval Time,,Off,,,,,,,,
MM Mode,,Off,,,,,,,,
Trace,,D,,,,,,,,
Center Wavelength,,1553,nm,,,,,,,
Span Wavelength,,35,nm,,,,,,,
Start Wavelength,,1535.5,nm,,,,,,,
Stop Wavelength,,1570.5,nm,,,,,,,
Value In Air/Vacuum,,Vacuum,,,,,,,,
Optical Attenuater,,On,,,,,,,,
Resolution,,1,nm,,,,,,,
Actual Resolution,,0.937,nm,,,,,,,
VBW,,1000,Hz,,,,,,,
Point Average,,Off,,,,,,,,
Sweep Average,,1,,,,,,,,
Smooth,,Off,,,,,,,,
Sampling Points,,501,pt,,,,,,,
Trace Type,,Fix,,,,,,,,
Trace Storage Mode,,Off,,,,,,,,
Trace Calculate Trace 1,,-,,,,,,,,
Trace Calculate Trace 2,,-,,,,,,,,
Dynamic Range,,Normal,,,,,,,,
Ext-Trigger,,Off,,,,,,,,
Interval Time,,Off,,,,,,,,
MM Mode,,Off,,,,,,,,
Trace,,E,,,,,,,,
Center Wavelength,,1553,nm,,,,,,,
Span Wavelength,,35,nm,,,,,,,
Start Wavelength,,1535.5,nm,,,,,,,
Stop Wavelength,,1570.5,nm,,,,,,,
Value In Air/Vacuum,,Vacuum,,,,,,,,
Optical Attenuater,,On,,,,,,,,
Resolution,,1,nm,,,,,,,
Actual Resolution,,0.937,nm,,,,,,,
VBW,,1000,Hz,,,,,,,
Point Average,,Off,,,,,,,,
Sweep Average,,1,,,,,,,,
Smooth,,Off,,,,,,,,
Sampling Points,,501,pt,,,,,,,
Trace Type,,Fix,,,,,,,,
Trace Storage Mode,,Off,,,,,,,,
Trace Calculate Trace 1,,-,,,,,,,,
Trace Calculate Trace 2,,-,,,,,,,,
Dynamic Range,,Normal,,,,,,,,
Ext-Trigger,,Off,,,,,,,,
Interval Time,,Off,,,,,,,,
MM Mode,,Off,,,,,,,,
Trace,,F,,,,,,,,
Center Wavelength,,1553,nm,,,,,,,
Span Wavelength,,35,nm,,,,,,,
Start Wavelength,,1535.5,nm,,,,,,,
Stop Wavelength,,1570.5,nm,,,,,,,
Value In Air/Vacuum,,Vacuum,,,,,,,,
Optical Attenuater,,On,,,,,,,,
Resolution,,1,nm,,,,,,,
Actual Resolution,,0.937,nm,,,,,,,
VBW,,1000,Hz,,,,,,,
