beam_length_mm,excitation_frequency_Hz,csv_path,sampling_frequency_Hz,Ccal_V_per_pm,filter_order,filter_cutoff_Hz,peak_to_peak_wavelength_shift_pm,rms_wavelength_shift_pm,dominant_fft_peak_Hz,dominant_fft_amplitude_pm,time_plot,fft_plot,dashboard_plot
30,2,Vibration_results/30-20/30_2HZ000.csv,62500.0,0.067308,4,10.0,26.914367283496738,7.344762437022543,1.5,8.287652036225738,wavelength_shift_plots/30-20/30mm_2Hz_time_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_2Hz_fft_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_2Hz_dashboard_wavelength_shift.png
30,3,Vibration_results/30-20/30_3HZ000.csv,62500.0,0.067308,4,10.0,11.939637600265424,3.119640223688696,0.5,3.10340378858257,wavelength_shift_plots/30-20/30mm_3Hz_time_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_3Hz_fft_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_3Hz_dashboard_wavelength_shift.png
30,4,Vibration_results/30-20/30_4HZ000.csv,62500.0,0.067308,4,10.0,27.796416941091316,6.6892404047537,5.0,3.480181316106172,wavelength_shift_plots/30-20/30mm_4Hz_time_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_4Hz_fft_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_4Hz_dashboard_wavelength_shift.png
30,5,Vibration_results/30-20/30_5HZ   000.csv,62500.0,0.067308,4,10.0,16.805851246577433,4.9589553683039655,0.5,6.615946235681464,wavelength_shift_plots/30-20/30mm_5Hz_time_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_5Hz_fft_wavelength_shift.png,wavelength_shift_plots/30-20/30mm_5Hz_dashboard_wavelength_shift.png
40,2,Vibration_results/40-20/40_2HZ000.csv,62500.0,0.067308,4,10.0,12.979164034293234,3.971272377246431,2.0,4.938316712729383,wavelength_shift_plots/40-20/40mm_2Hz_time_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_2Hz_fft_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_2Hz_dashboard_wavelength_shift.png
40,3,Vibration_results/40-20/40_3HZ000.csv,62500.0,0.067308,4,10.0,7.555736254494761,2.0750073749807036,3.0,2.45781347260188,wavelength_shift_plots/40-20/40mm_3Hz_time_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_3Hz_fft_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_3Hz_dashboard_wavelength_shift.png
40,4,Vibration_results/40-20/40_4HZ000.csv,62500.0,0.067308,4,10.0,15.927161620106123,3.438054497563559,0.5,3.0007282442948378,wavelength_shift_plots/40-20/40mm_4Hz_time_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_4Hz_fft_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_4Hz_dashboard_wavelength_shift.png
40,5,Vibration_results/40-20/40_5HZ000.csv,62500.0,0.067308,4,10.0,13.095840994707979,2.9751415896724698,2.0,1.8988856843469382,wavelength_shift_plots/40-20/40mm_5Hz_time_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_5Hz_fft_wavelength_shift.png,wavelength_shift_plots/40-20/40mm_5Hz_dashboard_wavelength_shift.png
50,2,Vibration_results/50-20/2HZ_50-20 000.csv,62500.0,0.067308,4,10.0,11.62781573327358,2.80183487744993,0.5,2.588361150035262,wavelength_shift_plots/50-20/50mm_2Hz_time_wavelength_shift.png,wavelength_shift_plots/50-20/50mm_2Hz_fft_wavelength_shift.png,wavelength_shift_plots/50-20/50mm_2Hz_dashboard_wavelength_shift.png
50,3,Vibration_results/50-20/3HZ_50-20 000.csv,62500.0,0.067308,4,10.0,13.278272153412864,3.1411200611613195,0.5,3.1026157599070747,wavelength_shift_plots/50-20/50mm_3Hz_time_wavelength_shift.png,wavelength_shift_plots/50-20/50mm_3Hz_fft_wavelength_shift.png,wavelength_shift_plots/50-20/50mm_3Hz_dashboard_wavelength_shift.png
